City,Temp,Lat,Lon,Hum,Cloud,Wind,Country
Kidal,34.61,18.44,1.41,3.0,0.0,4.31,ML
Bluff,7.22,-46.6,168.33,79.0,0.0,0.45,NZ
New norfolk,14.97,-42.78,147.06,67.0,75.0,4.6,AU
Ca mau,25.23,9.18,105.15,78.0,17.0,2.72,VN
Yellowknife,-24.34,62.46,-114.35,83.0,40.0,3.6,CA
Anadyr,-18.95,64.75,177.48,70.0,0.0,5.0,RU
Sungaipenuh,19.0,-2.08,101.38,98.0,100.0,1.15,ID
Bethel,6.45,41.37,-73.41,56.0,40.0,4.1,US
Tungkang,,,,,,,
Jalu,22.87,29.03,21.55,28.0,56.0,6.3,LY
Rikitea,25.73,-23.12,-134.97,77.0,100.0,8.05,PF
Sokyryany,17.22,48.45,27.42,54.0,62.0,4.02,UA
Hermanus,24.37,-34.42,19.23,77.0,37.0,0.45,ZA
Iqaluit,-17.1,63.75,-68.51,84.0,75.0,1.0,CA
Alofi,23.0,-19.06,-169.92,94.0,55.0,0.5,NU
Si bun ruang,30.0,16.97,102.28,41.0,66.0,3.64,TH
Airai,20.66,-8.93,125.41,97.0,100.0,0.27,TL
Brake,7.04,53.33,8.48,81.0,75.0,4.6,DE
Vaini,25.0,-21.2,-175.2,88.0,20.0,2.1,TO
Port alfred,26.67,-33.59,26.89,71.0,0.0,0.89,ZA
La ronge,-5.0,55.1,-105.28,100.0,90.0,2.1,CA
Provideniya,-16.93,64.38,-173.3,63.0,0.0,2.42,RU
Dzhubga,16.79,44.32,38.7,34.0,9.0,1.96,RU
Batemans bay,20.56,-35.72,150.18,94.0,100.0,2.24,AU
Bengkulu,23.97,-3.8,102.27,95.0,100.0,2.64,ID
Puerto ayora,25.28,-0.74,-90.35,94.0,90.0,9.8,EC
Butaritari,28.26,3.07,172.79,78.0,63.0,6.33,KI
Busselton,20.72,-33.65,115.33,35.0,43.0,6.15,AU
Talnakh,-8.0,69.49,88.4,85.0,75.0,10.0,RU
Jamestown,0.61,42.1,-79.24,86.0,1.0,4.1,US
Tabiauea,,,,,,,
Upernavik,-26.88,72.79,-56.15,57.0,97.0,1.93,GL
Ketchikan,0.48,55.34,-131.65,94.0,20.0,2.6,US
Codrington,16.91,-38.27,141.97,82.0,100.0,3.67,AU
Boende,39.45,-0.22,20.87,29.0,0.0,1.02,CD
Hithadhoo,28.51,-0.6,73.08,77.0,17.0,7.1,MV
Flinders,21.48,-34.58,150.86,100.0,75.0,2.1,AU
Feijo,23.39,-8.16,-70.35,96.0,100.0,1.03,BR
Georgetown,30.42,5.41,100.34,70.0,20.0,1.0,MY
Ushuaia,12.55,-54.8,-68.3,62.0,75.0,4.1,AR
Bathsheba,28.0,13.22,-59.52,58.0,40.0,9.8,BB
Strezhevoy,-2.0,60.73,77.59,54.0,40.0,2.0,RU
Acari,18.91,-15.43,-74.62,91.0,100.0,1.49,PE
Strai,4.78,58.2,7.9,75.0,75.0,2.1,NO
Kodiak,-11.0,57.79,-152.41,47.0,75.0,14.4,US
Valparaiso,13.98,-33.04,-71.63,100.0,75.0,2.6,CL
Thompson,-12.0,55.74,-97.86,92.0,90.0,1.0,CA
Attawapiskat,,,,,,,
Saldanha,24.0,-33.01,17.94,72.0,54.0,5.1,ZA
Sofiyivka,21.0,48.05,33.87,37.0,31.0,7.0,UA
Zambezi,26.86,-13.54,23.1,67.0,85.0,2.8,ZM
Leh,-13.38,34.17,77.58,63.0,28.0,1.04,IN
Tuktoyaktuk,-34.24,69.45,-133.04,99.0,54.0,2.81,CA
Slidell,21.9,30.28,-89.78,94.0,90.0,0.51,US
Atuona,27.22,-9.8,-139.03,74.0,2.0,5.36,PF
South lake tahoe,0.1,38.93,-119.98,79.0,1.0,1.5,US
Luderitz,25.0,-26.65,15.16,65.0,10.0,2.1,NA
San patricio,19.0,19.22,-104.7,77.0,5.0,3.1,MX
Ayan,-17.15,56.45,138.17,97.0,100.0,0.93,RU
Cape town,23.76,-33.93,18.42,64.0,24.0,7.2,ZA
Chokurdakh,-21.71,70.63,147.92,77.0,0.0,2.55,RU
Tsihombe,,,,,,,
Bichura,-12.29,50.59,107.6,81.0,89.0,0.99,RU
Khatanga,-17.09,71.97,102.5,97.0,95.0,1.52,RU
Alice springs,20.0,-23.7,133.88,88.0,15.0,2.6,AU
Saskylakh,-18.19,71.92,114.08,95.0,97.0,1.46,RU
Hilo,20.14,19.73,-155.09,88.0,90.0,2.1,US
Marcona,,,,,,,
Siguiri,37.96,11.67,-9.5,5.0,20.0,4.08,GN
Teahupoo,25.81,-17.83,-149.27,78.0,20.0,1.15,PF
Pimentel,19.0,-6.84,-79.93,29.0,20.0,4.1,PE
Dwarka,24.12,22.24,68.97,77.0,0.0,5.47,IN
Nanortalik,-8.71,60.14,-45.24,56.0,0.0,6.19,GL
Dolbeau,,,,,,,
Avarua,25.0,-21.21,-159.78,94.0,0.0,1.0,CK
Paradwip,,,,,,,
Qaanaaq,-25.96,77.48,-69.36,98.0,100.0,1.17,GL
Lorengau,28.23,-2.02,147.27,75.0,100.0,4.2,PG
Artyk,,,,,,,
Sulangan,26.88,11.14,123.72,83.0,0.0,6.25,PH
Te anau,6.2,-45.42,167.72,76.0,0.0,1.62,NZ
Nizhneyansk,,,,,,,
Salair,-6.56,54.23,85.8,93.0,100.0,5.32,RU
Hofn,0.0,64.25,-15.21,56.0,90.0,4.1,IS
Punta arenas,11.2,-53.15,-70.92,87.0,90.0,3.1,CL
Kruisfontein,37.18,-34.0,24.73,18.0,0.0,4.37,ZA
